date,datatype,station,attributes,value
2024-01-20T00:00:00,PRCP,GHCND:USW00094728,",,W,2400",0.0
2024-01-20T00:00:00,RHAV,GHCND:USW00094728,",,W,",50.0
2024-01-20T00:00:00,RHMN,GHCND:USW00094728,",,W,",42.0
2024-01-20T00:00:00,RHMX,GHCND:USW00094728,",,W,",59.0
2024-01-20T00:00:00,SNOW,GHCND:USW00094728,",,W,",0.0
2024-01-20T00:00:00,SNWD,GHCND:USW00094728,",,W,2400",30.0
2024-01-20T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",-3.2
2024-01-20T00:00:00,TMIN,GHCND:USW00094728,",,W,2400",-7.7
2024-01-20T00:00:00,WDF2,GHCND:USW00094728,",,W,",340.0
2024-01-20T00:00:00,WDF5,GHCND:USW00094728,",,W,",10.0
2024-01-20T00:00:00,WSF2,GHCND:USW00094728,",,W,",9.4
2024-01-20T00:00:00,WSF5,GHCND:USW00094728,",,W,",16.1
2024-01-21T00:00:00,ADPT,GHCND:USW00094728,",,W,",-139.0
2024-01-21T00:00:00,ASLP,GHCND:USW00094728,",,W,",10268.0
2024-01-21T00:00:00,ASTP,GHCND:USW00094728,",,W,",10200.0
2024-01-21T00:00:00,AWBT,GHCND:USW00094728,",,W,",-67.0
2024-01-21T00:00:00,AWND,GHCND:USW00094728,",,W,",4.1
2024-01-21T00:00:00,PRCP,GHCND:USW00094728,",,W,2400",0.0
